code_parent,code_parent_desc,count(*)
ESP1127,Prc Ouagadougou stabilisé Sud,20
ESP1129,R G Philippe face n 10,7
ESP113,Ave Rh Danube devant Pharmacie,3
ESP1130,Ec mat G Philippe R N Vallin,12
ESP1131,R Ninon Vallin IMCP,5
ESP1132,C Berriat Grégoire Alembert,8
ESP1134,R J Rey N Chorrier à Jaurès,17
ESP1135,R Sémard l'arche à F Gautier,3
ESP1136,R Pierre Sémard du 40 au 48,9
ESP1137,R Victor Lastella cote impair,4
ESP1138,R Diderot ang Pt du vercors,2
ESP1139,R Arago ang C Bernard,7
ESP114,Pl J Moulin partie Sud Est,43
ESP1140,R de la Frise,28
ESP1141,R de la Scierie ang Arago,6
ESP1142,Bd J Vallier Termier à Irvoy,31
ESP1143,Sq Mirabeau ch des Tournelles,8
ESP1144,Bd J Vallier ang Irvoy,8
ESP1145,Ec Ampère n 59 R du Drac,2
ESP1146,Ec de mus Ampère ang Greffier,6
ESP1147,R Papet,17
ESP1148,Parc Vallier aire de jeux,24
ESP1149,Parc de Marliave,62
ESP115,Ec mat Cornélie Gémond,13
ESP1150,A Lorraine impair Jaures Gambe,20
ESP1151,Ra Blanchard ang St Jacques,10
ESP1152,A Lorraine pair Mazet Gambetta,5
ESP1153,Pl Notre Dame,16
ESP1154,Pl Aristide Briand,2
ESP1155,Jard des Dauphins le châlet ,7
ESP1156,Foyer pers âgées R P Duclot,24
ESP1157,Bd Foch pair Gambetta Marceau,24
ESP1158,Bd Joffre pair Pasteur Rivet,20
ESP1159,Jard Hoche P Fugain Sud Ouest,26
ESP116,Crs Libération Beauvert Alliés,95
ESP1160,Pl Pasteur Joffre Diabl bleus,6
ESP1161,R de Narvick et H Ding,14
ESP1162,R Simon Nora,12
ESP1163,R L Lachenal n 02 à 04,18
ESP1164,Av Constantine n 06 à 24,11
ESP1165,Ec prim Reynoard Romantiques,7
ESP1166,Chem du tram,56
ESP1167,Ave Malherbe Ouest passerelle,71
ESP1168,R Pupin accés Kogan,16
ESP1169,Gal Arlequin crêche 120 ext,1
ESP117,Sortie A 480 st Bachelard,19
ESP1170,R C Kogan Pl centrale,29
ESP1171,Centre œcuménique St Marc,27
ESP1172,Cité Teisseire bassin,2
ESP1173,Ec Berlioz R F Garcia Lorca,17
ESP1174,Ec mat J Racine R Cl le Camus,21
ESP1175,R Manteyer n 37 à 41,16
ESP1176,R L Jouhaux n 102,1
ESP1177,C JJaurés Berriat à Dupont,51
ESP1179,R Jules Horowitz,38
ESP118,Prc Mis tour anneau de vitesse,31
ESP1180,R Léon Sestier,10
ESP1181,Crs Berriat n 161 bis,1
ESP1182,Pl St Bruno n 08 biblio ,2
ESP1183,Sq Moucherotte jeux de boules,10
ESP1184,R des Arts Jard Trocadero,8
ESP1185,Ch 3 maisonsi th de création,17
ESP1186,Trémie tram Sémard talus,14
ESP1187,Pl Doyen Gosse devant I U T,7
ESP1188,R Sémard impasse thalgo,3
ESP1189,R A Grégoire ang Hermite,1
ESP119,Prc Mis pelouse du médaillon,10
ESP1190,R A Terray Suède à AGrégoire,10
ESP1191,R Eugène Varlin,3
ESP1192,R Général Marchand,2
ESP1193,R Thiers impair Condorcet Tes,10
ESP1194,Pl Condorcet,4
ESP1195,Bd Gambetta Dubedout Berriat,73
ESP1196,Crs La Fontaine impair ,28
ESP1197,Pl Championnet,10
ESP1198,Pl Condorcet Voirie,5
ESP1199,Pl St André,2
ESP12,Cité F Gauthier pel de l'arche,43
ESP120,Ec mat Colonel Driant,15
ESP1200,Qu de France n 30 park,5
ESP1201,Jard des Dauphins camp indien ,15
ESP1202,Ec mat pas Jard de Ville,1
ESP1203,Esplan ceinture Nord-Ouest,43
ESP1204,Bd Joffre pair Pasteur Mistral,5
ESP1205,Pl St Laurent,2
ESP1206,Pl Pasteur Maison étudiants,5
ESP1208,Caser Bonne Espl A Leray Nord,42
ESP1209,Av Randon imp Girard Calvat,6
ESP121,Cité Ab chatelet Vercingétorix,4
ESP1210,Ave St Roch ang ch de Ronde,3
ESP1211,Jard Hoche cour des amoureux,12
ESP1212,Pc 3 H St Ferjus Chartreuse,20
ESP1213,Pc 3 H St Ferjus Chartr Hermin,59
ESP1214,Qu jongkind mur face n 1 et 3,3
ESP1215,R Farconnet,4
ESP1216,R Très Cloitre,3
ESP1217,Pl Bir Hakeim Pltte Dolomieu,10
ESP1218,Bd J Pain talus Forum ,31
ESP1219,MJC de la Magnanerie,5
ESP122,R N Vallin face écoles,10
ESP1220,Ave Beaumarchais,38
ESP1221,Ave du 11 Novembre,13
ESP1222,Ave Rh Danube L king E Claires,10
ESP1223,Ave Rh Danube devant l'Atelier,14
ESP1224,Bd des Adieux,11
ESP1225,R Fourrier n 2bis,1
ESP1226,Crs Libé Alliés Rochambeau,23
ESP1227,Crs Libération Reynier Vaujany,55
ESP1228,Cité Mistral R P Strauss,16
ESP1229,Cité Mistral R A France park,7
ESP123,FPA des Alpins Cour,2
ESP1230,R Cdt Nal,49
ESP1231,R Corot,6
ESP1232,R DrSchweitzer impair,19
ESP1233,R H Dagalier,12
ESP1234,R Alliés Matussière Stalingrad,11
ESP1235,R Peretto Bordier Berthelot,21
ESP1236,R Lieu Chabal contre ec Daudet,5
ESP1237,Ec F Buisson 04 R DrBordier,14
ESP1238,Av J O nord 140 RIA Chapitre,40
ESP1239,R E Zola ang Berthelot foyer,5
ESP124,Stade Bachelard,239
ESP1240,Sq des Charmilles FPA ,7
ESP1241,R Marquian Lesage à A Frédet,15
ESP1242,Pc Pompidou al du parc 05 à 13,20
ESP1243,Bd Foch Ferrié à Mallifaud,13
ESP1244,Pc Ch Elysés entrée Yves Farge,23
ESP1245,Crêche du Lys Rouge,7
ESP1246,Av LBruyère stab sous paserele,4
ESP1247,Prc La Bruyère Resid SUD-EST,19
ESP1248,Av Reynoard talus face URSAF,6
ESP1249,R des Chardonnerets Pltte,7
ESP125,Av Berthelot ang Flaubert,3
ESP1250,Ch Collège accès Pl des Géants,31
ESP1251,Collège entre Lac et Genêts,21
ESP1252,Crique sud n 150 Arlequin,6
ESP1253,Grande pelouse bord h du parc,31
ESP1254,Pl des Géants 30 cage escalier,3
ESP1255,Pltte Ch du parc Est butte 04,5
ESP1256,R du Trident,8
ESP1257,Res J Brel ,16
ESP1258,Pas la Fontaine park,12
ESP1259,Sq H Mauchant n 02 à 16,18
ESP126,R E Zola ang Berthelot park,8
ESP1260,Al Romantiques Musset LBruyère,48
ESP1261,R R François Pupin à Andrieux,15
ESP1262,R C Kogan centrale tléphonique,36
ESP1263,Pas entre Stalingrad et Vigny,25
ESP1264,R Gervasoti n 06 à 34,13
ESP1265,R H Duhamel du n 22 à 32,7
ESP1266,R H Duhamel terrain proximité,3
ESP1267,Grenoble village av M Reynoard,77
ESP1268,Pl des Géants,10
ESP1269,R C Kogan n 37 Andrieux,7
ESP127,R Déportés ang Mallifaud park,8
ESP1270,R C Kogan n 08 et 8bis,18
ESP1271,R Peupliers butte ang tennis,13
ESP1272,Av Malherbe face n 14 à 18,6
ESP1273,Pl Ch Dullin arri im Malherbe,22
ESP1274,Pl Ch Dullin impair ,8
ESP1275,Pl St Bruno Voirie,20
ESP1276,A DL Weill Colombe à Arménie,15
