code_parent,code_parent_desc,count(*)
ESP289,R du Régiment du 4ème Génie,22
ESP29,Ec prim Clémenceau 05 R Lachat,34
ESP290,R Hoche,30
ESP291,Sq Charles Michels,13
ESP292,Sq Sylvestri Boissieux Gambet,7
ESP293,Ec Lucie Aubrac,9
ESP294,Ec mat Marceau 1 R Bobillot,14
ESP295,R François Raoult sce logement,2
ESP296,Pl DrGirard,22
ESP297,Jard Hoche Sud sport et jeux,32
ESP298,R des Minimes,3
ESP299,R St Ursule,15
ESP30,Prc Pompidou piste cyclable,12
ESP300,Pl Paul Vallier,13
ESP301,Pl Edmond Arnaud,17
ESP302,Ec mat P Bert 10 R A Chissé,14
ESP303,Ave Beauvert,6
ESP304,Pl J Moulin partie Nord Ouest,40
ESP306,Ave Ronsard,32
ESP307,Cité Abry R Gén Garibaldi,23
ESP308,Cité Mistral R A Thomas impair,19
ESP309,Cité Mistral R A France 51  53,3
ESP31,R Roger Ronserail,4
ESP310,R Louise Michel,46
ESP311,Technisud derr rond point,6
ESP31187,CAI TARZE,6
ESP312,Al Rosa Parks,15
ESP313,Piscine Vaucanson,6
ESP31335,Ave Salvador Alliende,6
ESP31362,Crêche la ribambelle,5
ESP31387,R Blanche Monier,25
ESP314,R C de Bussy talus SNCF,3
ESP31408,EHPAD Narvik,3
ESP31414,R des Bergers et des bains,5
ESP31418,EHPAD Delphinelle Teisseire,5
ESP31431,EHPA St Laurent,6
ESP315,Cité Mistral derr 74 jeux,4
ESP31598,R Mocquet / Vigny / Leconte,61
ESP316,Prc Mis face siège FCG,12
ESP31657,Av des JO zone boisée,48
ESP31658,Technisud zone boisée,68
ESP31659,Prc Mistral zone boisée,98
ESP31685,Prc Ech zone boisée St Fergus,129
ESP31688,Parc Vallier zone boisée,74
ESP31689,Ech Mistral A480 talus boisé,82
ESP31690,Parc La bruyère zone boisée,22
ESP31691,Parc Cellatex zone boisée,137
ESP317,Prc Mis iles Jards,70
ESP31701,Local ADFE zone boisée,58
ESP318,Prc Mis pel Sud Est mini golf,7
ESP31821,Le Bastion zone boisée,339
ESP32,Allée des Balcons,3
ESP320,R Cardinal le Camus pair,20
ESP32097,Sortie A 480 zone boisée,43
ESP321,R N Vallin Esp petite enfance,2
ESP322,R D Fontanelle Cocat  Manteyer,9
ESP323,R A Bergès ang C Brenier,12
ESP32313,R Joserand et Duffourd,19
ESP32314,R Villard de Lans et Graille,15
ESP32315,Clos des Fleurs,30
ESP324,Sq Moucherotte ang Vercors,23
ESP325,Pl St Bruno,28
ESP326,Coulée verte Esclangon,79
ESP327,Pass des 400 couverts,5
ESP328,Cité F Gauthier abords jeux,19
ESP32838,Place H Dubedout,18
ESP32839,Crs Jaurès pair de PHD/ Lorr,18
ESP32840,Crs Jaurès impair de PHD/ Lorr,27
ESP32841,Crs Jaurès impair de Lorr/Ber,13
ESP329,R Bévière,3
ESP32989,Crs Libé Foch Rocham impair,14
ESP33,R des Trois épis,40
ESP330,R Hermite Raspail à Alembert,16
ESP331,R Irvoy ang Papet Charrel,4
ESP33117,R Manteyer Kaunas à J Perrot,30
ESP33118,R Kaunas de Manteyer à J O,17
ESP332,Espace Madrid R A Terray,8
ESP333,R A Terray espace d'Athènes,7
ESP334,R F Poulat pair ang Miribel,6
ESP335,R F Poulat pair ang St Franç,12
ESP336,R M Gontard angle M Deprez,3
ESP33621,Av Martyrs pl Mandela impair,10
ESP33622,Av Martyrs pl Mandela pair,11
ESP33623,Av Martyrs Tram Nord Horowitz,11
ESP33624,Av Martyrs impair Sud Horowitz,27
ESP33625,Av Martyrs Résistance Horowitz,72
ESP33626,Av Martyrs pair Sud Horowitz,16
ESP33627,Av Martyrs impair Nord Mandela,10
ESP33628,Av Martyrs pair Nord Mandela,13
ESP33629,Av Martyrs Tram Nord Mandela,15
ESP33630,Av Martyrs Tram Sud Horowitz,60
ESP33631,Av Martyrs Tram Pair Nord Horowitz,5
ESP33634,Sq Florian,20
ESP337,R Père Marion église St L,6
ESP33725,Av Martyrs impair Sud Mandela,13
ESP33726,Av Martyrs pair Sud Mandela,12
ESP338,Sq DrLéon Martin,28
ESP339,Jard de l'évêché,3
ESP34,R Musset de Reynoard à Pupin,24
ESP340,Jard de Ville,67
ESP341,Ave F Viallet Jaurès Gambetta,14
ESP342,Pl Victor Hugo Voirie,54
ESP343,R de Sault,1
ESP344,Esplan ceinture Sud-Ouest,70
ESP345,Rte de Lyon,20
ESP346,Bd Esplan Autoroute A 48 ,56
ESP347,Bd Foch pair n 66 ang Jaurès,3
ESP348,Pl André Malraux bord du park,12
ESP349,Ec Pte St Laurent 22 bis,1
ESP35,R R François park Kogan,25
ESP350,Caser Bonne Vall Nord Bassin,20
ESP351,R Maginot L Carnot à Gambetta,10
ESP352,R Bécaria,10
ESP353,R H Frenay Gambetta à L Carnot,20
ESP354,Ec mat J Verne 15 R Hoche,16
ESP355,H de police bd Mal Leclerq,23
ESP356,Jard Hoche cour des Bossus,19
ESP357,Jard Hoche cour des Mômes,33
ESP358,Qu jongkind Mortillet Duport,11
ESP359,R A de Chissé,29
ESP36,Stade VO pourtour,42
ESP360,Parc 2 R Herminier centre,37
ESP361,Cité les Vignes Sq H Huchon,6
ESP362,Ave St Roch terrain stabilisé ,63
ESP363,R Minimes 02 Cour Reymond,1
ESP364,Jard Plantes dans la rocaille,28
ESP365,Allée du Lys Rouge park CODASE,11
ESP366,Bd Mal Foch n 57 59,4
ESP36656,Place de Berulle,2
ESP367,Cité Mistral R A Thomas 06 08,9
ESP368,Cité Mistral R A Thomas boules,6
ESP369,Cité Paul Mistral R solidarité,21
ESP36926,R Henri Tarze à Pont SNCF,59
ESP37,Av Malherbe société Générale,11
ESP370,Cité Mistral imp 70 alignement,8
ESP371,R Capitaine Belmont,6
ESP372,R E Claires Rh Danube Césaire,14
ESP373,Parc Cellatex espaces ouvert 1,258
ESP374,Cité Abry aire de jeux,4
ESP375,Cité Mistral Pl Solidarité,27
ESP376,RArts de montagne aire de jeux,45
ESP377,Bd J Pain Tram Lyautet Mairie,33
ESP378,Prc Mis Jard alpin Nord bassin,20
ESP379,R Col Driant cote école,21
ESP38,R D Fontanelle n 05,5
ESP380,Prc Mis abords aire de jeux,35
ESP381,Prc Mis Al des Justes Est,13
ESP382,Prc Mis mini golf,17
ESP383,Cté Chatelet Cassin Duguesclin,5
ESP384,Av Paul Cocat pair,22
ESP385,R D Fontanelle Manteyer à J O,8
ESP386,Cité Moyrand R Condé,12
ESP387,R Florian Pascal à La Bruyère,10
ESP388,Bd Gallieni park n 01 à 09,19
ESP389,R Manteyer des J O à Ravanat,17
ESP39,R des Arts et Métiers,45
ESP390,Cité Ab Chatelet Rivail 08à10,6
ESP391,Sq Recoura,6
ESP392,R Jouhaux lycée Argouges,12
ESP393,Av Washington Pltte av J-O,56
ESP394,Av Grd Chatelet les Mouettes,8
ESP395,Ave Fenelon Littré  La Bruyère,16
ESP396,Av J Perrot Boileau à J Racine,3
ESP397,Av St Roch  St Ferjus park,14
ESP398,Cite George Sand,36
ESP399,R Col Driant Pltte dev école,6
ESP40,Trémie tram Berriat talus,11
ESP400,Prc Mis pel sud de la famille,11
ESP401,Park Mancret service Métro,3
ESP402,R Jacquard station / ateliers,5
ESP403,Jard du Couvent,20
ESP404,Pc Savane entrée Ronserail Sud,33
ESP405,Ec mat Savane 10 R Ronserail,14
ESP406,Ec et gymnase Houille Blanche,22
ESP407,R Stalingrad park clos d'or,18
ESP408,R G Mangin Hôtel Mercure Voirie,2
ESP409,Ch Chapitre ang Stat Ponsard,36
ESP41,R N Chorier ang Alembert,1
ESP410,R du 140 RIA derr Taillefer,9
ESP411,R J Giono Jacquard  Pompidou,11
ESP412,Prc Pompidou bassin,1
ESP413,Pl G Rivet ang Joffre,4
ESP414,R Déportés Bourget  Mallifaud,15
ESP415,R du Mont Aiguille,9
ESP416,R Léo Lagrange voie ferrée,34
ESP417,Prc Pompidou centre sportif,41
ESP418,R P Janet Mallifaut à Peretto,10
ESP419,Crêche halte gard les loupiots,4
ESP42,Pl Victor Hugo,48
ESP420,R Francis James park,52
ESP421,R Francis James Vigny Voirie,19
ESP422,Av J Perrot ang Paul Claudel ,14
ESP423,Av Grande Chartreuse impair,14
ESP424,Pc Pompidou zone d'ébats,35
ESP425,Ch Gordes Ouest conservatoire,4
ESP426,Ch Maronier Libération Rivoire,9
ESP427,Portes de l'ouest,6
ESP428,Ec A France n 31,24
ESP429,Placette Montferrat Schweitzer,12
ESP43,Pl d'Agier,4
ESP430,R Salengro sép Libé Schweitz ,50
ESP431,R des Collibris,15
ESP432,Prc La Bruyère NORD mail centr,102
ESP433,R Esmonin Pupin à Gd Place sép,15
ESP434,Al des Genêts align ec Frenes,8
ESP435,Chem de la piscine,13
ESP436,Grande pelouse,58
ESP437,Tr quartiers talu architecture,13
ESP438,La piste pel de l'aire de jeux,42
ESP439,Désserte alisiers mail Parc,100
ESP44,Pl J Achard,25
ESP440,Mail des Tilleuls,135
ESP441,Ec du lac,54
ESP442,Plateaeu butte n 08,6
ESP444,Tr quartiers ang al des Genêts,37
ESP445,R Esmonin tal IMT ang Andrieux,16
ESP446,R H Barbusse,29
ESP447,Pl J Racine,17
ESP448,Allée de la Sylphide impair,22
ESP449,R Manteyer 01à13 ang J O,14
ESP45,Qu de France,31
ESP450,R Stalingrad Musset La Bruyère,23
ESP451,R Maquis de l'Oisans pair,15
ESP452,R du village,11
ESP453,R Andrieux PM Curie R François,12
ESP454,R Andrieux R François M Oisans,4
ESP455,All Romantiques LBruyère Vigny,108
ESP456,R Stalingrad pair ang Vigny,13
ESP457,R des pins,11
ESP458,Av Reynoard Destinées LBruyère,24
ESP459,Placette Prémol,15
ESP46,Bd Esplan impair Lyon boules ,16
ESP460,R Arlequin pourtour silo 03,25
ESP461,Pl des Géants 40 park,5
ESP462,Av M Reynoard face cl du Mail,29
ESP463,R Lorenzaccio impair,15
ESP464,Park P Gaspard,3
ESP465,R des trois Quartiers,23
ESP466,Av Constantine ang All Frênes,8
ESP467,Av Europe ang Cure Bourse,13
ESP468,Halte gard Chapi Chapo,11
ESP469,Av Constantine impair,19
ESP47,Bd Foch pair Marceau Lanoyerie,23
ESP470,R Christophe Turc,42
ESP471,R C Kogan pelouse IMT,14
ESP472,R C Kogan n 31alignement,12
ESP473,Av LBruyère de Peupliers Tram,13
ESP474,Prc Ouagadougou Ttoir Mantayer,12
ESP475,R Manteyer tour n 51 sud,3
ESP476,R G Lafourcade park O jeux,6
ESP477,Av P Cocat n 12 CRM ,2
ESP478,Pl Firmin Gautier,13
ESP479,A F Viallet la Gare à Jaures,52
ESP480,Pl Gare park gare routière,23
ESP481,R Sémard Esclangon à l'arche,23
ESP482,Qu Claude Bernard,37
ESP483,R des Arts,13
ESP484,Parvis L Néel MINATEC Voirie,23
ESP485,R Esclangon Vercors à Weil,26
ESP486,R Rouvière vers fourrière,7
ESP487,R Georges Jacquet,17
ESP488,F H Tarze r Villard de Lans ,20
ESP489,Sq Mozart n 01 R Cuvier,9
ESP49,Ave Randon stab Saulaie Bizan,7
ESP490,Ec N Chorier n 21 et 23,4
ESP491,R de Boston,9
ESP493,R du Drac ang Sully,6
ESP494,Parc Vallier terrain de boules,14
ESP495,Cimetière St Roch,304
ESP496,Ec mat J Jaurès n 02 Jay,6
ESP497,Bd Gambetta Berriat Lesdigu,52
ESP498,R St Jaime Servien Lorraine,24
ESP499,Cargo park R P Claudel,19
ESP50,Ave Beaumarchais ang A Reynier,19
ESP500,Ch Gordes dev local EV,4
ESP501,R H de Balzac ang Alliés,9
ESP502,R Kennedy Jacquard  Pompidou,11
ESP503,Pc Pompidou pel face 09 à 13,14
ESP504,R Alliés Milliat A de Vigny,9
ESP505,Voie E O Stalingrad Berthelot,56
ESP506,R Léo Lagrange piste cyclable,27
ESP507,R Peretto face n 12 et 18,2
ESP508,R Paul Bourget,9
ESP509,Ec prim Bajatière 06 Ch Eglise,12
ESP51,Cité Mistral R A France 35,5
ESP510,R du 140 RIA f du Taillefer,8
ESP511,Ec L Jouhaux 06 R du 140 R I A,17
ESP512,R Gén Ferrié,2
ESP513,Chem des Alpins face n 38,2
ESP514,Cargo Est allée entre bâtiment,8
ESP515,Pc Pompidou al du parc face 03,28
ESP516,Cargo Pltte ang Ext N Dame,9
ESP517,Ch Alpins ang Lieut Chabal,3
ESP518,Parc Cellatex espaces ouvert 2,37
ESP519,R Rivoire Péguy Vallier,15
ESP52,Prc Mis stab Ouest St Alpes,45
ESP520,R E Claires Schweitzer Péguy,41
ESP521,Pc Ch Elysés ile du lac,4
ESP522,Ec prim n 45 R Sidi Brahim,7
ESP523,R Coubertin service voirie,14
ESP524,Al de la pelouse aire de jeux,29
ESP525,Al de la pelouse SUD aire jeux,25
ESP526,Baladins crêche des frênes,1
ESP527,Chem des oliviers,8
ESP528,Crique sud abords aire de jeux,12
ESP529,Tr quartiers 170 Arlequin pel,37
ESP53,Prc Echangeurs talus berges,228
ESP530,Tr quartiers 170 maison médic,11
ESP531,Tr quartiers pourtour silo 1 ,11
ESP532,Ec des genêts,44
ESP533,Pied butte n 08 Trident,17
ESP534,Tr quartiers ab aire de jeux,17
ESP535,Av Reynoard passerelle Cl Mail,13
ESP536,R Pascal 17 à 31,13
ESP537,Crique sud park,10
ESP538,Prc LaBruyère SUD mail central,47
ESP54,Bd Gallieni park n 02 à 06,7
ESP540,R H Barbusse parvis Al Congrés,20
ESP541,Pl L Jouvet n 08 à 20,23
ESP542,Allée des Deux Mondes pair,20
ESP543,Sq La Bruyère dans pelouse,7
ESP544,R Pupin Ma Oisans à R François,7
ESP545,R Pupin des Ecrins au tunnel,36
ESP546,R du village face à la Poste,28
ESP547,R des Peupliers,22
ESP548,R Gervasoti mail des tilleuls,21
ESP549,R du 8 Mai 1945 voie bus,11
ESP55,Av Malherbe Pascal à J Perrot,39
ESP550,R Arlequin silo 03 park,2
ESP551,Pl des droits de l'enfant,7
ESP552,Av Europe Ouest station Tram,21
ESP553,Av Europe rond point tram,13
ESP554,Ec Eterlous R Gervasotti,4
ESP555,Av La Bruyère park 26 et 28,4
ESP556,Ec Christophe Turc intèrieur,6
ESP557,Pl Géants ext crêche Poucets,14
ESP558,R C Kogan n 35 Jardière IMT,6
ESP559,Av Constantine park Cascateles,52
ESP56,Sq Lafleur R Général Ferrié,24
ESP560,Pl des Géants 40 cour int,15
ESP561,R C Kogan n 35 et 37,33
ESP562,Av Reynoard Musset LBruyère,23
ESP563,R C Kogan n 14 à 28,38
ESP564,Allée d'Essen,68
ESP565,Local CPHT Nord gym Malherbe,5
ESP566,Crèche Malherbe CCAS,23
ESP567,Av P Cocat impair alignement,5
ESP568,Pl Claveyson,1
ESP569,Bd Foch Tram G Rivet Marceau,37
ESP57,Bd Vallier R Danube Libé ,59
ESP570,Bd Mal Lyautet devant la Poste,9
ESP571,Ec Musiq Jar 50 Qu France,6
ESP572,Bd Gambetta Lesdigu Boissieux,26
ESP573,Bd Gambetta de Hoche à H Ding,30
ESP574,Caser Bonne Vallons Carnot,51
ESP575,Jard Hoche P Fugain Nord Est,18
ESP576,R Maginot Marceau L Carnot,12
ESP577,R Turenne ang Augereau,19
ESP578,R Lanoyerie talus voie ferrée,8
ESP579,Ave Randon FC Allobroges Saul,3
ESP58,Av J O nord Voirie,11
ESP580,Ave Randon trottoir Bizanet ,7
ESP581,Ave Randon Girard Masséna,9
ESP582,Ave Randon dev musée,4
ESP583,Jard Hoche entrée R H Ding,2
ESP584,Jard Hoche pelouse Sud,11
ESP585,Jard Hoche talus Nord-Est,7
ESP586,Jard Hoche jeux Est sport,8
ESP587,Pl André Malraux,11
ESP588,Pc 3 H St Ferjus t Belledonne,44
ESP589,R des Fleurs,6
ESP59,R Henriette Deloras,7
ESP590,R Vendres,1
ESP591,Parc 1 Michalon Musée,23
ESP592,Parc 2 R Hermin tour Vercors,20
ESP593,Parc 2 R Herminier ch de Ronde,33
ESP594,R Hébert pair Chanrion Verdun,28
ESP595,Ave Randon dev école Bizanet ,8
ESP596,R J Chanrion accés 07 Moulin,2
ESP597,Crs Libération France Ronsard,78
ESP598,Cité Mistral R A France 88,2
ESP599,R Vaujany Dagalier au terminus,61
ESP60,R du 140 RIA Ouest,8
ESP600,Al Lys Rouge salle polyvalente,21
ESP601,R Capitaine Camine CODASE,9
ESP602,R DrSchweitzer pair,9
ESP603,Cité Mistral Thomas aire jeux,19
ESP604,Cité Mistral dev Tour n 74,12
ESP605,Cité Mistral derr 74 align,9
ESP607,Bd Clémenceau J d'arc à Driant,51
ESP608,Bd J Pain Lyautey Haxo sép,18
ESP609,Prc Mis park anneau vitesse,38
ESP61,Av J Perrot n 10 TER,1
ESP610,Prc Mis stab face Jouhaux,5
ESP611,Prc Mis St des Alpes ceinture,80
ESP613,Prc Mis pel Ouest Mairie,13
ESP614,Prc Mis Mail bd Ouest t Perret,11
ESP615,Prc Mis iles Jards esp chiens,9
ESP616,R L Jouhaux Cocat à Fernandat,45
ESP617,R Manteyer ang D Fontanelle,3
ESP618,Cté Chatelet R René Cassin,14
ESP619,Cité Moyrand R E Cartan,15
ESP62,Ave du Grand Serre pair,17
ESP620,Av Grd Chatelet n 43-45 ,11
ESP621,Av J d'Arc C Genin  Perreau,9
ESP622,M enfance av Grd Chatelet,7
ESP623,Quatre Tours Malherbe 17 park,5
ESP624,Bd Gallieni,8
ESP625,R M Riollet cité rouge,35
ESP626,R G Philippe alignement,21
ESP627,Ec Jules Ferry 47 R L Jouhaux,14
ESP628,Pl de la Commune de 1871,25
ESP629,Ec mat du Gand Chatelet n 01,16
ESP63,R Arlequin ang voie tram,7
ESP630,Av J O Jouhaux 140 RIA sép,5
ESP631,Av St Roch ang St Ferjus,5
ESP632,Pc Alliance R Stalingrad,119
ESP633,Prc Mis pel des Enfs du Drac,50
ESP634,Ec prim A Daudet ,7
ESP635,Pl R Frappat ang Eaux Claires,14
ESP636,Centre social des Eaux Claires,12
ESP637,Cargo park Est,57
ESP639,Cité Moyrand E Cartan le mail ,29
ESP64,La piste entre gymn et Parc,3
ESP640,R L Jouhaux Fernanda Teisseire,20
ESP641,Av J d'Arc Clémenceau Perraut,15
ESP642,Chem des Arts,4
ESP643,R L Jouhaux Pltte déchetterie,5
ESP644,R G Tonnelier ang av Teiseire,4
ESP645,Cité Ab Chatelet R R Cassin,4
ESP646,Cité Moyrand R Dupleix pair,8
ESP647,Sq La Bruyère,9
ESP648,Av Paul Cocat impair,15
ESP649,R Flandrin voie Tram,16
ESP65,Foyer 1900 R Ninon Vallin,9
ESP650,R Valles ang C Genin,1
ESP651,Av J O de Jouhaux à 140 RIA,15
ESP652,Av Malherbe J Perrot GPhilippe,26
ESP653,R Stalingrad park Mancret,9
ESP654,Green Way 19 R Gén Ferrié,12
ESP655,Sq Foch ang Mangin,49
ESP656,Ec prim Elisée Chatin,15
ESP657,R Jacquard propreté urbaine,3
ESP658,Sq Capitaine Camine,59
ESP659,Parc Cellatex Jards collectifs,25
ESP66,Ferme Prémol,26
ESP660,R A France Houille Blanche,13
ESP661,Pc Ch Elysés Est du lac,42
ESP662,Pc Savane pelouses Nord,91
ESP663,Jard du 8 mai 1945 R Bouchayer,51
ESP664,Crêche du Couvent,4
ESP665,Av A Belgique Durand Rivet,26
ESP666,Av Champon pair,9
ESP667,Av J Perrot ang Stat Ponsard,19
ESP668,R Obiou ang Dent de Crolles,5
ESP669,R de l'Obiou impair,7
ESP67,R Arlequin pourtour silo 04,80
ESP670,R Stalingrad Jacquard Lagrange,6
ESP671,R Jacquard Mangin à Kenedy,9
ESP672,Ch d'Isly ang Jules Ferry,6
ESP673,R Kennedy Jacquard à Louvois,12
ESP674,R des Alliés Reynoard Flaubert,31
ESP675,R DrBordier pair,16
ESP676,R 140 RIA Est,7
ESP677,R J Ferry Lumière et Ch d'isly,10
ESP678,R Peretto Berthelot Gay Lussac,12
ESP679,R Kruger,4
ESP68,R Manteyer n 53,3
ESP680,Av J Perrot ang J O  Chapitre,23
ESP681,Prc Pompidou alignt central,8
ESP682,Av J O nord n 1000 à 1030,5
ESP683,R P Mérimée la Bifurk,20
ESP684,Cargo triang gazon R P Claudel,12
ESP685,Prc Pompidou pourtour rocaille,14
ESP686,Cargo Ext NDame piste cyclable,11
ESP687,Pc Ch Elysés entree dr Farges,10
ESP688,R A France CODASE ang Camine,26
ESP689,Sq Péguy ang Le cardonnel,9
ESP69,R Durand Savoyat talus pont,3
ESP690,Av Europe 30 32 le Polynôme,17
ESP691,Av Lbruyère S-O passe Malherbe,33
ESP692,Al de la pelouse Ec des Frênes,6
ESP693,Al des Genêts,6
ESP694,Al Genêts align sillo tennis,13
ESP695,Butte n 01,23
ESP696,Chem de la Piscine Baladins,6
ESP697,Crique sud n 170 Arlequin,16
ESP698,Gal Arlequin n 80 patio,12
ESP699,Pied butte n 02 école du Lac,3
ESP7,A A Lorraine Jaures à la Gare,22
ESP70,Ec mat Vallier R Greffier,8
ESP700,Le Zénith,68
ESP701,Av Reynoard Village au Collège,56
ESP702,Gal de l'Arlequin n 10,13
ESP703,Cité Léon Jouhaux,205
ESP704,Sq H Mauchant face n 16 à 22,25
ESP705,R Pupin de Esmonin aux Ecrins,17
ESP706,R Maquis de l'Oisans impair,15
ESP707,R Esmonin  Reynoard à Pupin ,27
ESP708,R A France Parvis du Plateau,12
ESP71,R du Fer à Cheval,1
ESP710,R Alliés Milliat à A de Vigny,22
ESP711,R Arts de montagne Talus,67
ESP712,Prc Mis pel mon des déportés,27
ESP713,Prc Mis pel Col Driant,16
ESP714,Prc Mis tour de la Bobine,19
ESP715,Villa Arthaud R Colonel Driant,9
ESP716,Av J O Poterne à J Valles,2
ESP717,Av J d'Arc Perreau Clémenceau,16
ESP718,Bd Clémenceau Valmy  J d'arc,10
ESP719,Impasse Ganganeli,19
ESP72,Rte de Clémencières square,21
ESP720,Prc Echangeurs Valmy Gallieni,261
ESP721,R Turgot Le Nôtre à Lemaitre,20
ESP722,R Jouhaux Teisseire à Repos,22
ESP723,R Cardinal le Camus impair,11
ESP724,Pc Ch Elysés Ouest du lac,132
ESP725,Pc Savane aire jeux Painlevé,24
ESP726,Pc Savane local pétanque,29
ESP727,Ec prim Painlevé 73 Bouchayer,12
ESP728,M J C Anatole France,3
ESP729,Av J Perrot ang J O 93 105,20
ESP73,R Barral église St Vinc Paul,2
ESP730,Bd Foch Mallifaud Rivet,7
ESP731,Bd Foch Mallifaud angle Rivet,1
ESP732,Ch église Monge Berthelot,17
ESP733,Park Mallifaud ang P Janet,19
ESP734,R de la Bajatière,18
ESP735,Sq Bajatière Chem de l'église,51
ESP736,R Alliés Stalingrad  H Balzac,33
ESP737,R Romanet 12 à 140 RIA,9
ESP738,Voie E O Cargo à J Perrot,47
ESP739,R P Janet ang A1 Belgique,3
ESP74,Ave Randon impair Ronde Girard,12
ESP740,R Paul Doumer,9
ESP741,R F James pair n 26 à 68,7
ESP742,Garderie la Trottinette,4
ESP743,Bd Foch Tram Marceau G Rivet,16
ESP744,Chem d'Isly ang R Moyrand,4
ESP745,R Dunant ang B de Montferrat,13
ESP746,R des Chardonnerets,30
ESP747,R Esmonin talus Alibert ,32
ESP748,R Esmonin Blum au rond point,75
ESP749,Alpexpo butte,13
ESP75,Jard Hoche cour du mikado,35
ESP750,Al de la pelouse Ch Collège,8
ESP751,Chem de la Piscine FPA du Lac,29
ESP752,Chem du Collège,7
ESP753,Crique sud abords terr de foot,33
ESP754,Crique sud Pltte mais médicale,8
ESP755,Gal Arlequin Arbre fruitier,39
ESP756,Tr quartiers montée des Genêts,45
ESP757,Passage la Fontaine,12
ESP758,Pl des Saules,19
ESP759,R des trois épis 13 à 20,35
ESP76,Parc 2 R Hermin align central,20
ESP760,R du Trident 12 et 13,29
ESP761,Grande pelouse butte des pins,262
ESP762,Pelouse massif du lac,31
ESP763,Av Reynoard Lbruyère a Village,47
ESP764,Prc La Bruyère mail central,35
ESP765,R Arlequin massif tennis,8
ESP766,R des Bergeronnettes,5
ESP767,R Pascal du 17 au 31,5
ESP768,Pl L Jouvet n 22 à 28,19
ESP769,R P Claudel sous bois,31
ESP77,Ave Randon Est éc Bizanet,15
ESP770,R Turgot marché Malherbe,3
ESP771,Allée des Romantiques impair,71
ESP772,Garage central Malherbe Est,64
ESP773,R A Vigny ang G de Maupassant,8
ESP774,R des Destinées,8
ESP775,R Lorenzaccio pair,15
ESP776,Centre social Prémol,16
ESP777,R Village pel contre immeubles,9
ESP778,R G Lafourcade Terrain Blanc,29
ESP779,Ec mat Malherbe n 40 R Pascal,12
ESP78,Cité les Vignes n 39 à 43 ,4
ESP780,R Manteyer n 21 derrière,1
ESP781,Pl Gare arrêt Tram terminus,31
ESP782,Pl de Sfax devant biblio inter,15
ESP783,Parvis F Latour,13
ESP784,R J Rey Berriat à N Chorrier,28
ESP785,R Sémard devant hôtel Europole,3
ESP786,R Victor Lastella cote pair,4
ESP787,R Adrien Ricard,11
ESP788,R Colonel Veyron Lacroix,6
ESP789,Ec J Macé n 01 R J Lyonnaz,9
ESP79,Ec la Saulaie pôle musical,6
ESP790,Q de la Graille Jeux de boules,3
ESP792,Trémie tram R Amiral Courbet,23
ESP793,Sq Coppier R de l'isère,14
ESP794,Cité F Gauthier abord bati,33
ESP795,Pt Catane Nord Vallier Voirie,7
ESP796,R A Grégoire n 65,1
ESP797,R Ampère ang Raspail,7
ESP798,R Alembert derr piscine,5
ESP799,R de New York ang Paris,1
ESP8,Park l durée r E Gueymard,60
ESP80,Ec mat Bizanet 51 ave Randon,14
ESP800,R Pierre Duclot ,2
ESP801,A Lorraine pair Gambet Jaures,17
ESP802,Crs La Fontaine impair Champo,6
ESP803,R Expilly Pl J Achard ,1
ESP804,Pl de la Cymaise,29
ESP805,Qu des Allobroges,16
ESP806,Ec mat n 11 R Millet,1
ESP807,Ec prim Jard de ville,8
ESP808,Halte gard n 9 R de la Poste,6
ESP809,Bd Esplan pair n 02 à 44,39
ESP81,Allée Vaucanson,61
ESP810,Bd Esplan pair n 44-58 Lyon,14
ESP811,Bd Foch pair Hôt Mercure park ,13
ESP812,Pl Pasteur Diabl bleus Champon,8
ESP813,Jard des Dauphins petit nice,3
ESP814,Jard des Dauphins vasques ,11
ESP815,Jard Léon Moret,6
ESP816,Bd Gambetta de H Ding à Foch ,8
ESP817,Jard Hoche P Fugain buttes,62
ESP818,R Augereau ang Marceau,3
ESP819,Pl d'Apvril,19
ESP82,Ec prim Cornélie Gémond,5
ESP820,Ave Randon St Eynard Piquet,13
ESP821,Ave Randon Piquet Mortillet,3
ESP822,Ave Randon Mortillet Girard,9
ESP823,Pl Lavalette Musée,12
ESP824,Jard Hoche entrée Nord Est,3
ESP825,R Bizanet,11
ESP826,R de Mortillet,10
ESP827,R Menon Oddos alignement,6
ESP828,Ave St Roch monument du Génie,5
ESP829,Parc 1 Michalon Qu Jongkind,17
ESP830,R Hébert imp Verdun St Roch,52
ESP831,Stade Salvator Alliende,15
ESP832,Cité les Vignes n 03 à 07,11
ESP833,Esplan F Mitterand Musée,18
ESP834,Ave Rochambeau,27
ESP835,R Martin Lutherking,18
ESP836,R Hilaire de Chardonnet,71
ESP837,R Vaujany Libération Dagalier,31
ESP838,Cité Abry sur pelouses,27
ESP839,Cité Mistral stab Sud 74,19
ESP84,Hôtel Lesdiguières,99
ESP840,Cité Mistral la prairie,33
ESP841,Bd Diable Bleu Mistral Pasteur,7
ESP842,Prc Mis entre Mairie et bds,9
ESP843,Prc Mis pelses du koster,43
ESP844,Prc Mis Mail bds Est t Perret,33
ESP845,Prc Mis Al des Justes Ouest,29
ESP846,Prc Mis sous-bois de hêtres,15
ESP847,Prc Mis massif Nord médaillon,30
ESP848,Prc Mis arr mont diables bleus,69
